sample.id,sample.type,sample.weight.mg,nitrogen.retention.time,nitrogen.response,nitrogen.weight.mg,nitrogen.weight.percent,nitrogen.peaktype,nitrogen.elementname,carbon.retention.time,carbon.response,carbon.weight.mg,carbon.weight.percent,carbon.peaktype,carbon.elementname
2020eco_Menard_i_13,unknown,3.193,2.277,81.677,0.041,1.30,Refer,Nitrogen,3.497,8150.280,1.509,47.26,Refer,Carbon
QC,unknown,1.986,2.237,429.849,0.208,10.46,Refer,Nitrogen,3.483,7653.777,1.407,70.85,Refer,Carbon
2020eco_Russel_i_05,unknown,1.965,2.252,65.410,0.034,1.71,Refer,Nitrogen,3.601,4673.649,0.834,42.47,Refer,Carbon
2020eco_Williamson10_i_01,unknown,2.235,2.261,43.017,0.023,1.03,Refer,Nitrogen,3.571,5174.330,0.926,41.45,Refer,Carbon
2020eco_Russel_i_07,unknown,2.923,2.265,60.269,0.031,1.07,Refer,Nitrogen,3.536,6437.201,1.166,39.88,Refer,Carbon
2020eco_Sansaba_i_12,unknown,2.671,2.256,48.848,0.026,0.96,Refer,Nitrogen,3.537,6300.761,1.139,42.65,Refer,Carbon
2020eco_Russel_i_14,unknown,2.314,2.265,76.507,0.039,1.68,Refer,Nitrogen,3.548,6208.790,1.122,48.47,Refer,Carbon
2020eco_Sansaba_i_03,unknown,2.258,2.257,76.884,0.039,1.73,Refer,Nitrogen,3.568,5374.636,0.964,42.68,Refer,Carbon
2020eco_Harris_i_02,unknown,2.201,2.257,209.872,0.103,4.66,Refer,Nitrogen,3.568,5606.731,1.007,45.76,Refer,Carbon
2020eco_Menard_i_15,unknown,1.745,2.247,44.323,0.024,1.35,Refer,Nitrogen,3.588,4600.555,0.821,47.06,Refer,Carbon
2020eco_Bexar_i_12,unknown,1.967,2.251,158.423,0.078,3.97,Refer,Nitrogen,3.577,4955.462,0.886,45.05,Refer,Carbon
2020eco_Menard_i_06,unknown,2.236,2.252,127.969,0.064,2.84,Refer,Nitrogen,3.552,5837.009,1.051,46.99,Refer,Carbon
2020eco_Williamson10_i_15,unknown,3.606,2.268,204.559,0.100,2.78,Refer,Nitrogen,3.472,8744.641,1.634,45.31,Refer,Carbon
QC,unknown,1.108,2.240,237.096,0.116,10.44,Refer,Nitrogen,3.584,4401.847,0.785,70.87,Refer,Carbon
2020eco_Bell_i_07,unknown,2.667,2.256,167.098,0.082,3.08,Refer,Nitrogen,3.523,6651.575,1.207,45.27,Refer,Carbon
2020eco_Williamson10_i_13,unknown,2.101,2.255,109.059,0.055,2.59,Refer,Nitrogen,3.579,5024.482,0.899,42.78,Refer,Carbon
2020eco_Williamson10_i_14,unknown,2.111,2.259,111.336,0.056,2.63,Refer,Nitrogen,3.568,5328.537,0.955,45.24,Refer,Carbon
2020eco_Bell_i_05,unknown,3.455,2.264,241.703,0.118,3.41,Refer,Nitrogen,3.477,8423.458,1.566,45.33,Refer,Carbon
2020eco_Sansaba_i_01,unknown,2.723,2.273,142.927,0.071,2.60,Refer,Nitrogen,3.531,6963.967,1.269,46.59,Refer,Carbon
2020eco_Sansaba_i_02,unknown,2.955,2.273,157.600,0.078,2.63,Refer,Nitrogen,3.516,7272.947,1.330,45.01,Refer,Carbon
2020eco_Russel_i_04,unknown,2.587,2.268,93.662,0.047,1.82,Refer,Nitrogen,3.567,6058.019,1.093,42.24,Refer,Carbon
2020eco_Russel_i_03,unknown,1.972,2.269,70.173,0.036,1.82,Refer,Nitrogen,3.608,4616.755,0.824,41.79,Refer,Carbon
2020eco_Menard_i_12,unknown,2.599,2.273,72.669,0.037,1.43,Refer,Nitrogen,3.567,5949.446,1.072,41.24,Refer,Carbon
2020eco_Menard_i_11,unknown,2.449,2.264,75.555,0.038,1.57,Refer,Nitrogen,3.577,5593.939,1.005,41.03,Refer,Carbon
2020eco_Sansaba_i_13,unknown,2.014,2.273,48.530,0.026,1.27,Refer,Nitrogen,3.600,4933.410,0.882,43.79,Refer,Carbon
QC,unknown,1.383,2.255,297.300,0.144,10.44,Refer,Nitrogen,3.545,5452.798,0.978,70.73,Refer,Carbon
2020eco_Sansaba_i_04,unknown,2.703,2.277,84.804,0.043,1.59,Refer,Nitrogen,3.552,6303.953,1.140,42.17,Refer,Carbon
2020eco_Sansaba_i_11,unknown,2.165,2.264,79.607,0.040,1.87,Refer,Nitrogen,3.592,5173.114,0.926,42.78,Refer,Carbon
2020eco_Sansaba_i_10,unknown,2.569,2.287,95.150,0.048,1.86,Refer,Nitrogen,3.577,5870.103,1.057,41.14,Refer,Carbon
2020eco_Edwards_i_11,unknown,2.726,2.281,73.089,0.037,1.37,Refer,Nitrogen,3.556,6474.923,1.173,43.03,Refer,Carbon
2020eco_Edwards_i_08,unknown,2.242,2.268,49.742,0.026,1.17,Refer,Nitrogen,3.577,5445.653,0.977,43.57,Refer,Carbon
2020eco_Edwards_i_10,unknown,3.469,2.279,69.253,0.035,1.02,Refer,Nitrogen,3.508,7934.615,1.464,42.22,Refer,Carbon
2020eco_Harris_p_1a,unknown,0.591,2.239,15.172,0.010,1.63,Refer,Nitrogen,3.720,1518.882,0.287,48.62,Refer,Carbon
2020eco_Harris_p_1b,unknown,4.441,2.287,160.901,0.079,1.78,Refer,Nitrogen,3.488,8982.621,1.685,37.94,Refer,Carbon
2020eco_Harris_p_1c,unknown,1.263,2.264,36.532,0.020,1.57,Refer,Nitrogen,3.653,3285.204,0.587,46.50,Refer,Carbon
2020eco_Russel_i_13,unknown,2.759,2.289,71.966,0.037,1.33,Refer,Nitrogen,3.521,7398.879,1.355,49.13,Refer,Carbon
2020eco_Bexar_i_15,unknown,3.251,2.276,107.678,0.054,1.66,Refer,Nitrogen,3.543,6797.073,1.236,38.01,Refer,Carbon
QC,unknown,0.819,2.257,173.131,0.085,10.39,Refer,Nitrogen,3.632,3339.964,0.597,72.87,Refer,Carbon
